City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Maumere,ID,-8.6199,122.2111,79.52,84,100,3.94,overcast clouds
80,Kuryk,KZ,43.2,51.65,40.03,90,100,14.76,overcast clouds
81,Avarua,CK,-21.2078,-159.775,82.45,78,20,11.5,few clouds
82,Port Elizabeth,ZA,-33.918,25.5701,68.29,83,100,10.36,overcast clouds
83,Mugur-Aksy,RU,50.35,90.5,-10.5,65,5,5.91,clear sky
84,Ha Giang,VN,22.8333,104.9833,57.29,92,100,2.04,overcast clouds
85,Warrington,GB,53.3925,-2.5802,47.32,77,75,5.99,broken clouds
86,Taoudenni,ML,22.6783,-3.9836,75.24,11,100,13.67,overcast clouds
87,Fortuna,US,40.5982,-124.1573,61.93,53,0,7.0,clear sky
88,Barrow,US,71.2906,-156.7887,-7.58,71,100,12.66,overcast clouds
89,Dikson,RU,73.5069,80.5464,2.88,93,99,21.61,overcast clouds
90,Upernavik,GL,72.7868,-56.1549,1.89,93,100,5.35,overcast clouds
91,Cabra,ES,37.4725,-4.4421,49.44,35,0,3.11,clear sky
92,Saint Anthony,US,45.0205,-93.218,28.24,59,0,4.0,clear sky
93,Airai,TL,-8.9266,125.4092,60.64,93,100,3.42,overcast clouds
94,The Pas,CA,53.8251,-101.2541,5.02,72,75,4.61,broken clouds
95,Sembe,CG,1.6481,14.5806,77.14,28,100,0.38,overcast clouds
96,Deputatskiy,RU,69.3,139.9,-18.67,87,100,2.06,overcast clouds
97,Caldwell,US,43.6629,-116.6874,31.15,81,100,0.0,overcast clouds
98,Gamba,GA,-2.65,10.0,77.83,87,88,4.5,overcast clouds
99,Camacha,PT,33.0833,-16.3333,61.56,82,0,10.36,clear sky
100,Khatanga,RU,71.9667,102.5,-4.59,99,100,5.23,overcast clouds
101,Lorengau,PG,-2.0226,147.2712,80.15,81,98,7.65,overcast clouds
102,Port Alfred,ZA,-33.5906,26.891,70.25,80,46,12.55,scattered clouds
