City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
106,Carutapera,BR,76.06,light rain,-1.195,-46.02,Lidera
107,Yangambi,CD,73.53,clear sky,0.8102,24.4336,
110,Eyl,SO,75.13,broken clouds,7.9803,49.8164,Amiin Hotel
111,Castelnau-Le-Lez,FR,45.55,clear sky,43.6333,3.9,Domaine de Verchant
113,Saldanha,ZA,65.37,clear sky,-33.0117,17.9442,Blue Bay Lodge
116,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
117,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
118,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
119,Hobyo,SO,77.11,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
120,Faanui,PF,79.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
123,Codrington,AU,62.04,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
124,Mahibadhoo,MV,81.79,clear sky,3.7833,72.9667,Omadhoo Inn
126,Cabras,IT,45.73,clear sky,39.93,8.5314,Hotel Villa Canu
128,Jalu,LY,53.56,clear sky,29.0331,21.5482,صاحبة الفخامة
129,Sao Miguel Do Araguaia,BR,78.03,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
132,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
133,Sechura,PE,79.79,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
135,Kirakira,SB,80.26,moderate rain,-10.4544,161.9205,SanBiz Lodge
136,Wanaka,NZ,63.1,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
138,Alanya,TR,48.33,overcast clouds,36.5438,31.9998,Panorama Hotel
141,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
142,Bytow,PL,44.71,light rain,54.1706,17.4919,Centrum UŁAN SPA
143,Luwuk,ID,77.56,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
145,San Patricio,US,66.61,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Faya,SA,50.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
147,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
